Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2019-05-21 19:07:30,false,"County Dublin Running","0.20","8","00:00:39.3","156","174","1.0","208","220","3:18","3:00","--","1.33","6.8","5.9","198","50.6% L / 49.4% R","0.0","0.0","0.0","0:39.3","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-05-21 19:24:36,false,"County Dublin Running","0.20","8","00:00:40.4","155","173","1.0","199","217","3:19","2:32","--","1.32","7.0","6.2","215","47.4% L / 52.6% R","0.0","0.0","0.0","0:40.4","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-05-21 19:15:25,false,"County Dublin Running","0.20","9","00:00:40.3","154","175","1.1","190","210","3:21","3:02","--","1.53","4.6","6.8","197","49.1% L / 50.9% R","0.0","0.0","0.0","0:40.3","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-05-21 19:33:17,false,"County Dublin Running","0.21","8","00:00:41.6","155","172","1.0","172","230","3:22","2:20","--","1.45","4.0","6.1","191","48.3% L / 51.7% R","0.0","0.0","0.0","0:41.6","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-04-02 19:24:23,false,"County Dublin Running","0.28","12","00:00:57.4","148","166","1.3","195","228","3:22","2:14","--","1.32","6.7","7.2","189","48.9% L / 51.1% R","0.0","0.0","0.0","0:57.4","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-05-21 19:05:08,false,"County Dublin Running","0.41","19","00:01:24.2","160","175","1.2","199","223","3:23","2:57","--","1.39","5.2","6.5","217","48.8% L / 51.2% R","0.0","0.0","0.0","1:24.2","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2017-07-04 19:29:38,false,"Dublin 4 Running","0.31","13","00:01:04.0","158","176","1.2","203","215","3:29","3:20","--","1.34","4.7","6.2","222","48.9% L / 51.1% R","0.0","0.0","0.0","1:04.0","0:00","0.0","0:00","No","00:00.00","--","0.0"
Running,2019-11-05 19:06:14,false,"County Dublin Running","0.41","22","00:01:28.7","167","179","1.3","195","221","3:39","3:31","--","1.33","6.6","6.8","232","49.3% L / 50.7% R","0.0","0.0","0.0","1:28.7","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-11-05 19:04:14,false,"County Dublin Running","0.41","21","00:01:31.3","156","175","1.3","191","205","3:42","3:34","--","1.33","6.2","7.3","244","49.7% L / 50.3% R","0.0","0.0","0.0","1:31.3","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-04-02 19:23:18,false,"County Dublin Running","0.09","2","00:00:20.0","123","151","1.0","165","201","3:42","3:15","--","1.49","3.0","8.0","188","49.1% L / 50.9% R","0.0","0.0","0.0","0:20.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2017-12-12 18:58:43,false,"Dublin 4 Running","0.79","41","00:02:59.0","168","180","1.7","203","224","3:46","3:14","3","1.27","4.7","6.4","223","49.5% L / 50.5% R","0.0","0.0","0.0","2:59.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-04-16 19:02:28,false,"County Dublin Running","0.40","23","00:01:31.0","161","173","1.3","193","201","3:46","3:43","--","1.24","6.4","6.9","225","50.5% L / 49.5% R","0.0","0.0","0.0","1:31.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2018-05-01 18:58:45,false,"County Dublin Running","0.39","17","00:01:28.7","149","168","1.2","194","204","3:47","3:37","--","1.39","5.1","7.2","239","50.9% L / 49.1% R","0.0","0.0","0.0","1:28.7","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2020-12-15 18:45:25,true,"County Dublin Running","1.62","98","00:06:09.3","173","181","2.1","195","215","3:47","3:01","2","1.33","5.0","6.8","228","50.8% L / 49.2% R","0.0","0.0","0.0","6:09.3","0:00","0.0","0:00","No","02:15.99","2","0.0"
Running,2019-05-21 19:21:18,false,"County Dublin Running","0.41","22","00:01:33.9","157","173","1.3","194","202","3:48","3:32","--","1.37","5.1","6.9","225","48.5% L / 51.5% R","0.0","0.0","0.0","1:33.9","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-11-05 19:15:57,false,"County Dublin Running","0.40","24","00:01:32.1","169","180","1.4","192","233","3:49","3:47","--","1.30","5.6","7.3","231","50.5% L / 49.5% R","0.0","0.0","0.0","1:32.1","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-05-21 19:30:05,false,"County Dublin Running","0.41","23","00:01:33.3","160","170","1.2","192","206","3:50","3:27","--","1.06","8.0","6.6","228","48.2% L / 51.8% R","0.0","0.0","0.0","1:33.3","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-11-05 19:21:19,false,"County Dublin Running","0.41","22","00:01:34.1","159","176","1.3","191","209","3:51","3:42","--","1.26","6.0","7.2","238","50.4% L / 49.6% R","0.0","0.0","0.0","1:34.1","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-05-21 19:01:41,false,"County Dublin Running","0.58","33","00:02:14.9","160","169","1.3","193","210","3:51","3:26","--","1.33","5.0","6.9","225","49.8% L / 50.2% R","0.0","0.0","0.0","2:14.9","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-11-05 19:17:47,false,"County Dublin Running","0.40","24","00:01:32.9","172","180","1.4","191","200","3:52","3:31","--","1.24","6.2","7.2","239","50.8% L / 49.2% R","0.0","0.0","0.0","1:32.9","0:00","0.0","0:00","No","00:00.00","1","0.0"
